Province/State,Province/State-Original,Country/Region,Lat,Long,period,confirmed,death,recovered,active,FIPS,County,Last_Update,Key,Cruise
South Carolina,South Carolina,USA,34.22333378,-82.46170658,2020-03-24,1.0,0.0,0.0,0,45001.0,Abbeville,2020-03-24,"Abbeville, South Carolina, US",
Louisiana,Louisiana,USA,30.2950649,-92.41419698,2020-03-24,2.0,0.0,0.0,0,22001.0,Acadia,2020-03-24,"Acadia, Louisiana, US",
Virginia,Virginia,USA,37.76707161,-75.63234615,2020-03-24,1.0,0.0,0.0,0,51001.0,Accomack,2020-03-24,"Accomack, Virginia, US",
Idaho,Idaho,USA,43.4526575,-116.24155159999998,2020-03-24,19.0,0.0,0.0,0,16001.0,Ada,2020-03-24,"Ada, Idaho, US",
Iowa,Iowa,USA,41.33075609,-94.47105874,2020-03-24,1.0,0.0,0.0,0,19001.0,Adair,2020-03-24,"Adair, Iowa, US",
Kentucky,Kentucky,USA,37.10459774,-85.28129668,2020-03-24,0.0,0.0,0.0,0,21001.0,Adair,2020-03-24,"Adair, Kentucky, US",
Missouri,Missouri,USA,40.19058551,-92.60078167,2020-03-24,1.0,0.0,0.0,0,29001.0,Adair,2020-03-24,"Adair, Missouri, US",
Oklahoma,Oklahoma,USA,35.88494195,-94.65859267,2020-03-24,0.0,0.0,0.0,0,40001.0,Adair,2020-03-24,"Adair, Oklahoma, US",
Colorado,Colorado,USA,39.87432092,-104.3362578,2020-03-24,25.0,0.0,0.0,0,8001.0,Adams,2020-03-24,"Adams, Colorado, US",
Idaho,Idaho,USA,44.89333571,-116.4545247,2020-03-24,0.0,0.0,0.0,0,16003.0,Adams,2020-03-24,"Adams, Idaho, US",
Illinois,Illinois,USA,39.98815591,-91.18786813,2020-03-24,1.0,0.0,0.0,0,17001.0,Adams,2020-03-24,"Adams, Illinois, US",
Indiana,Indiana,USA,40.7457653,-84.93671406,2020-03-24,1.0,0.0,0.0,0,18001.0,Adams,2020-03-24,"Adams, Indiana, US",
Iowa,Iowa,USA,41.02903567,-94.69932645,2020-03-24,0.0,0.0,0.0,0,19003.0,Adams,2020-03-24,"Adams, Iowa, US",
Mississippi,Mississippi,USA,31.47669768,-91.35326037,2020-03-24,2.0,0.0,0.0,0,28001.0,Adams,2020-03-24,"Adams, Mississippi, US",
Nebraska,Nebraska,USA,40.52449420000001,-98.50117804,2020-03-24,1.0,0.0,0.0,0,31001.0,Adams,2020-03-24,"Adams, Nebraska, US",
North Dakota,North Dakota,USA,46.09686891,-102.5285397,2020-03-24,0.0,0.0,0.0,0,38001.0,Adams,2020-03-24,"Adams, North Dakota, US",
Ohio,Ohio,USA,38.84541072,-83.4718964,2020-03-24,0.0,0.0,0.0,0,39001.0,Adams,2020-03-24,"Adams, Ohio, US",
Pennsylvania,Pennsylvania,USA,39.87140411,-77.21610347,2020-03-24,6.0,0.0,0.0,0,42001.0,Adams,2020-03-24,"Adams, Pennsylvania, US",
Washington,Washington,USA,46.98299757,-118.5601734,2020-03-24,1.0,0.0,0.0,0,53001.0,Adams,2020-03-24,"Adams, Washington, US",
Wisconsin,Wisconsin,USA,43.96974651,-89.76782777,2020-03-24,0.0,0.0,0.0,0,55001.0,Adams,2020-03-24,"Adams, Wisconsin, US",
Vermont,Vermont,USA,44.03217337,-73.14130877,2020-03-24,8.0,0.0,0.0,0,50001.0,Addison,2020-03-24,"Addison, Vermont, US",
South Carolina,South Carolina,USA,33.54338026,-81.63645384,2020-03-24,2.0,0.0,0.0,0,45003.0,Aiken,2020-03-24,"Aiken, South Carolina, US",
Minnesota,Minnesota,USA,46.60962049,-93.4116826,2020-03-24,0.0,0.0,0.0,0,27001.0,Aitkin,2020-03-24,"Aitkin, Minnesota, US",
Florida,Florida,USA,29.67866525,-82.35928158,2020-03-24,37.0,0.0,0.0,0,12001.0,Alachua,2020-03-24,"Alachua, Florida, US",
North Carolina,North Carolina,USA,36.0434701,-79.39976137,2020-03-24,3.0,0.0,0.0,0,37001.0,Alamance,2020-03-24,"Alamance, North Carolina, US",
California,California,USA,37.64629437,-121.8929271,2020-03-24,135.0,2.0,0.0,0,6001.0,Alameda,2020-03-24,"Alameda, California, US",
Colorado,Colorado,USA,37.57250606,-105.7885451,2020-03-24,0.0,0.0,0.0,0,8003.0,Alamosa,2020-03-24,"Alamosa, Colorado, US",
New York,New York,USA,42.60060306,-73.97723916,2020-03-24,146.0,0.0,0.0,0,36001.0,Albany,2020-03-24,"Albany, New York, US",
Wyoming,Wyoming,USA,41.65498705,-105.7235415,2020-03-24,0.0,0.0,0.0,0,56001.0,Albany,2020-03-24,"Albany, Wyoming, US",
Virginia,Virginia,USA,38.02080697,-78.55481085,2020-03-24,2.0,0.0,0.0,0,51003.0,Albemarle,2020-03-24,"Albemarle, Virginia, US",
Michigan,Michigan,USA,44.6846864,-83.59507875,2020-03-24,0.0,0.0,0.0,0,26001.0,Alcona,2020-03-24,"Alcona, Michigan, US",
